id,title,type,original_type,refer,knowledge_points,source,title_length
Q032,"4. Figure Q4 shows the execution of two processes p1 and p2 in an asynchronous distributed system, where the dots represent the events occurring in the processes, and the arrows represent the messages sent between the processes. Process p1 contains a variable x, and process p2 contains a variable y. The values of x and y at the different process states are shown in Figure Q4. [Image of Figure Q4 showing two process timelines. p1 has states: x19, x19, x?, x?, x17, x17, x17. p2 has states: y6, y6, y12, y12, y8, y8, y10, y10. Messages are sent from p1 to p2 and p2 to p1.] (a) Draw the lattice of consistent global states. In the lattice, use Sij to denote the global state after i events at process p1 and j events at process p2. (6 marks) (b) If it can be inferred that the constraint x  y  6 must be broken in the execution, what is the possible range of xs values in the two states shown by ""x  ?"" (note that these two states have the same x value)? (7 marks)",Short Answer,Short Answer,Chapter 7 Time and Global States,"['Global States', 'Distributed Debugging']",7.pdf,966
Q033,"5. (a) Suppose that the Ricart and Agrawala algorithm is used for distributed mutual exclusion among n processes p1, p2, ..., pn. Below is the partial pseudocode of the algorithm executed by a process pi. Complete the algorithm by filling in the boxes A to F with the appropriate pseudocode. Each box other than D is for one statement, and D is a logical condition. On initialization state : RELEASED; To enter the critical section state : WANTED; [Box A] T : the timestamp of the request by the logical clock; [Box B] [Box C] On receipt of a request (Tj, pj) from another process pj (j  i) if [Box D] then [Box E] else queue request from pj without replying; end if To exit the critical section state : RELEASED; [Box F] (6 marks) (b) In the Ricart and Agrawala algorithm, suppose the statement T : the timestamp of the request by the logical clock is changed to T : i (i.e., the timestamp is set to the process index). Does the algorithm still guarantee that at most one process may execute in the critical section at any time? Briefly explain your answer. (7 marks) (c) Suppose that we would like to modify the Ricart and Agrawala algorithm to coordinate p1, p2, ..., pn for accessing a shared resource that can be accessed by at most two processes at any time. Which box (or boxes) in Q5(a) need to be amended and how it (or they) should be amended to achieve this goal? (5 marks)",Fill in Blank,Fill in Blank,Chapter 1 Characterization of Distributed Systems & System Models,['Fundamental models'],7.pdf,1384
Q034,"6. Consider a replicated shared object service hosting an integer object x whose initial value is 0. Table Q6 shows the operations performed by two clients on x. For example, read(x)  a denotes a read operation on x returning a value a, and write(x  x  50) denotes a write operation increasing the value of x by 50. The operations of each client are listed in the order that they are performed by the client. [Table Q6: Client A operations in program order are write(x  x  6), read(x)  a, write(x  x  50), read(x)  b. Client B operations in program order are read(x)  c, write(x  x  400), read(x)  d.] (a) If a  406 and the object service is sequentially consistent, what are the possible combinations of the values c and d? (4 marks) (b) If the object service is FIFO consistent, what are the possible combinations of the values a and b? (4 marks) (c) If a  400 and the object service is monotonicread consistent, what are the possible values of b? (4 marks) (d) If a  406 and the object service is readyourwrites consistent, what are the possible values of b? (4 marks) (e) If a  400 and the object service is both monotonicwrite consistent and writesfollowreads consistent, what are the possible values of b? (4 marks)",Short Answer,Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,['Fundamental models'],7.pdf,1221
Q035,"1. (a) In a distributed MRT information system, the server provides a method that allows the clients to query the fare between two specified stations. The server also provides an alert service to the clients through callback. When there is a service interruption for any MRT line, the alert service notifies interested clients of the line name. Assume that the station names and line names are represented by strings, and the fare is represented by a floatingpoint value. (i) Design a Java remote interface for the server to allow the clients to query the fares and to register their interests in the alert service. Design a Java remote interface for the clients to allow the server to perform callback. (6 marks) (ii) For each method defined in the above interfaces, briefly explain the parameter passing semantics of each parameter. (3 marks) (b) To resolve a name requested by a client C, four name servers are involved in the order of S1, S2, S3, S4. Suppose that only unicast is used in the name resolution. For each navigation type below, list the sequence of all messages sent among C, S1, S2, S3, S4 in the name resolution process (use the format C  S₁ to indicate a message sent by C to S1).  Iterative clientcontrolled navigation  Nonrecursive servercontrolled navigation  Recursive servercontrolled navigation (6 marks)",Programming,Programming,"Chapter 3 Distributed Objects & Remote Invocation, Chapter 6 Name Services","['An example of Java RMI', 'Architecture of RMI', 'Domain Name System']",4.pdf,1330
Q036,"2. In a peertopeer file sharing system based on Chord routing, the identifier circle ranges from 0 to 127 (i.e., 2⁷  1). There are 10 nodes in the system: N2, N7, N27, N40, N47, N60, N69, N75, N90 and N96, where the numbers behind N denote the node identifiers on the identifier circle. (a) Draw the finger table of node N90. (3 marks) (b) What is the route of a query issued by node N90 for the location information of file K53 (the number behind K denotes the key identifier of the file on the identifier circle)? (4 marks) (c) If a query issued by node N7 visits node N40 in its route, what are the possible key identifiers of the target file? (Note: The query may visit other nodes in addition to N40. N40 can be the node responsible for the target file or any other node visited in the query route.) (7 marks)",Calculation,Calculation,Chapter 5 Peer-to-Peer File Sharing Systems,['Structured DHT Systems'],4.pdf,814
Q037,"3. Figure Q3 shows three computers A, B and M in an asynchronous distributed system, each having a local clock. M sends requests to the other two computers and then they reply to M. Events a to h represent the sending and receiving events of these messages. Let tx denote the local clock reading at event x in the computer where x occurs (for example, ta is the local clock reading of A at event a, and tc is the local clock reading of M at event c). Assume that M knows the time readings (in units of millisecond) of all events: ta  200, tb  220, tc  110, td  150, te  180, tf  190, tg  30, and th  60. The clock drifts at the computers are negligible. [Image of Figure Q3 showing timelines and message exchanges between computers A, M, and B] (a) M would like to estimate the local clock reading of A. What is Ms best estimate of As clock reading at the time when M receives As reply (i.e., at event f)? What is the accuracy of this estimate? (3 marks) (b) M would like to estimate the local clock reading of B. What is Ms best estimate of Bs clock reading at the time when M receives Bs reply (i.e., at event e)? What is the accuracy of this estimate? (3 marks) (c) Suppose that M acts as the master in the Berkeley algorithm for synchronizing the local clocks of M, A and B. M does not eliminate any clock in its calculation. Following Q3(a) and Q3(b), what time value should M set its clock to when it receives As reply (i.e., at event f)? What information should M send to A and B respectively for synchronizing their clocks? (5 marks) (d) Following Q3(c), after M, A and B perform synchronization using the Berkeley algorithm, what is the largest possible offset between As clock and Bs clock? (3 marks) (e) Assume that message delivery on each unidirectional pointtopoint channel follows FIFO order. Suppose that M initiates the ChandyandLamport algorithm sometime between events d and e to record a snapshot of the system. What are the possible snapshots finally recorded? In your answer, use SA, SB, and SM to represent the initial states of A, B, and M respectively, and use Sx to represent the state of the computer (where event x occurs) immediately after event xs occurrence (for example, Sa is the state of A immediately after event a occurs, and Sc is the state of M immediately after event c occurs). (4 marks)",Calculation,Calculation,Chapter 7 Time and Global States,"['Synchronizing Physical Clocks', 'Global States']",4.pdf,2327
Q038,"4. Figure Q4 shows the execution of two processes p₁ and p₂ in an asynchronous distributed system, where the dots represent the events occurring in the processes, and the arrows represent the messages sent between the processes. Process p₁ contains a variable x, and process p₂ contains a variable y. The values of x and y at different process states are shown in Figure Q4. [Image of Figure Q4 showing timelines for processes p1 and p2 with events, messages, and changing values of variables x and y] (a) Draw the lattice of consistent global states. In the lattice, use Sij to denote the global state after i events at process p₁ and j events at process p₂. (7 marks) (b) If it can be inferred that the constraint x  y  6 must be broken in the execution, what is the possible range of ys values in the two states shown by y  ? (note that these two states have the same y value)? (8 marks)",Short Answer,Short Answer,Chapter 7 Time and Global States,"['Global States', 'Causal Ordering and Logical Clocks', 'Distributed Debugging']",4.pdf,890
Q039,"5. (a) We would like to modify the ringbased election algorithm to elect the process with the smallest identifier. Assume that each process has a unique identifier. Describe what a process with an identifier 6 needs to do when it receives an election message in each of the following cases: (i) The identifier in the received message is 5. (ii) The identifier in the received message is 6. (iii) The identifier in the received message is 7. (8 marks) (b) In the RicartandAgrawala algorithm for mutual exclusion, instead of using logical clock readings to timestamp requests, suppose that every process timestamps its requests with its physical clock readings. Assume that the physical clocks always advance and do not fail. In the case that two requests have the same timestamps, the identifiers of the requesting processes are used to break ties (the process with smaller identifier is given higher priority). With this modification, does the algorithm still guarantee that at most one process may execute in the critical section at any time? Briefly explain your answer. (12 marks)",Essay,Essay,Chapter 7 Time and Global States,"['Fundamental models', 'Causal Ordering and Logical Clocks']",4.pdf,1083
Q040,"6. Consider a replicated shared object service hosting an integer object x whose initial value is 0. Table Q6 shows the operations performed by two clients on x. For example, read(x)  a denotes a read operation on x returning a value a, and write(x  x  20) denotes a write operation increasing the value of x by 20. The operations of each client are listed in the order that they are performed by the client. [Table Q6: Client A performs write(x  x  100), read(x)  a, read(x)  b. Client B performs write(x  x  3), read(x)  c, write(x  x  20), read(x)  d.] (a) If a  103 and the object service is sequentially consistent, what are the possible combinations of the values c and d? (3 marks) (b) If the object service is FIFO consistent, what are the possible combinations of the values c and d? (3 marks) (c) If b  123 and the object service provides both monotonicreads consistency and monotonicwrites consistency, what are the possible values of a? (4 marks) (d) If the object service is readyourwrites consistent, what are the possible combinations of the values c and d? (4 marks) (e) If c  103 and the object service is writesfollowreads consistent, what are the possible values of d? (4 marks)",Short Answer,Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,['Fundamental models'],4.pdf,1197
Q041,"In a distributed banking system, the server keeps the transaction records of credit cards and provides two services. The first service is for customers to query the available credit limit (a floatingpoint value) by specifying the credit card number (an integer). The second service is to keep customers informed of their new transactions through callback. To use this service, a customer must register his interest by specifying the credit card number. A callback from the server includes the transaction description (a string) and the amount used (a floatingpoint value). Design Java remote interfaces for the server and the customer. (6 marks)",Programming,Programming,Chapter 3 Distributed Objects & Remote Invocation,"['Object-based model: remote method invocation (RMI)', 'An example of Java RMI']",8.pdf,645
Q042,Let A and B be two different idempotent operations on the same object. Let C be a compound operation that first executes A and then executes B. Analyze whether operation C is idempotent and briefly explain your answer. (6 marks),Short Answer,Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,['Fundamental models'],8.pdf,228
Q043,"Briefly explain onecopy update semantics and session update semantics. What update semantics do the local UNIX file system, the Network File System and the Andrew File System implement respectively? (5 marks)",Short Answer,Short Answer,Chapter 4 Distributed File Systems,"['Sun Network File System', 'Andrew and Coda File Systems']",8.pdf,208
Q044,"In a peertopeer file sharing system based on Chord routing, the identifier circle ranges from 0 to 127 (i.e., 27  1). There are 10 nodes in the system: N0, N6, N25, N38, N45, N58, N67, N73, N88 and N94, where the numbers behind N denote the node identifiers on the identifier circle. (a) What is the route of a query issued by node N88 for the location information of file K71 (the number behind K denotes the key identifier of the file on the identifier circle)? (5 marks) (b) When a new node joins the system, it changes the route of the query in Q2(a). What are the possible node identifiers of this new node? (5 marks)",Calculation,Calculation,Chapter 5 Peer-to-Peer File Sharing Systems,['Structured DHT Systems'],8.pdf,622
Q045,"Three processes p1, p2 and p3 are running on different computers in an asynchronous distributed system. Each process has a local clock. Figure Q3 shows four messages sent between the processes, where events a to h represent the sending and receiving events of these messages. Let te be the reading of p1s clock at event e, and tg be the reading of p2s clock at event g. Suppose that p3 knows te and tg, as well as the lengths of the time intervals measured by the respective clocks as shown in Figure Q3. [Image of Figure Q3] (a) Assume that the clock drifts are negligible. If p3 would like to synchronize its clock with p2s clock as accurately as possible, what time should p3 set its clock to when it receives the message at event h? What is the accuracy of this setting? (4 marks) (b) Assume that the clock drifts are negligible. If p3 would like to synchronize its clock with p1s clock as accurately as possible, what time should p3 set its clock to at event h? What is the accuracy of this setting? (4 marks) (c) Suppose that the drift rate of each clock is bounded by 10 ms per second (the drift rate of a clock is defined as the change in the offset between the clock and a perfect reference clock per unit of time measured by the perfect reference clock). If p3 would like to synchronize its clock with p2s clock as accurately as possible, what time should p3 set its clock to at event h? What is the accuracy of this setting? (6 marks) (d) List all the events that happenedbefore event e in causal ordering. (2 marks) (e) Assume that message delivery on each unidirectional pointtopoint channel follows FIFO order. Suppose that p1 initiates the ChandyandLamport algorithm immediately after event e to record a snapshot of the system. What are the possible snapshots finally recorded? In your answer, if needed, use S1, S2 and S3 to represent the initial states of p1, p2 and p3 respectively, and use Sx to represent the state of the process immediately after event x occurs (for example, Sa is the state of p3 immediately after event a occurs, and Sc is the state of p2 immediately after event c occurs). (6 marks)",Calculation,Calculation,Chapter 7 Time and Global States,"['Synchronizing Physical Clocks', 'Causal Ordering and Logical Clocks', 'Global States']",8.pdf,2124
Q046,"Figure Q4 shows the execution of two processes p1 and p2 in an asynchronous distributed system, where the dots represent the events occurring in the processes, and the arrows represent the messages sent between the processes. Process p1 contains a variable x, and process p2 contains a variable y. The values of x and y at the different process states are shown in Figure Q4. [Image of Figure Q4] (a) Draw the lattice of consistent global states. In the lattice, use Sij to denote the global state after i events at process p1 and j events at process p2. (6 marks) (b) If it can be inferred that the constraint x  y  6 must be broken in the execution, what is the possible range of xs values in the two states shown by ""x  ?"" (note that these two states have the same x value)? (7 marks)",Calculation,Calculation,Chapter 7 Time and Global States,"['Global States', 'Distributed Debugging']",8.pdf,787
Q047,"Suppose that the Ricart and Agrawala algorithm is used for distributed mutual exclusion among n processes p1, p2, ..., pn. Below is the partial pseudocode of the algorithm executed by a process pi. Complete the algorithm by filling in the boxes A to F with the appropriate pseudocode. Each box other than D is for one statement, and D is a logical condition. On initialization state : RELEASED; To enter the critical section state : WANTED; [Box A] T : the timestamp of the request by the logical clock; [Box B] [Box C] On receipt of a request (Tj, pj) from another process pj (j  i) if [Box D] then [Box E] else queue request from pj without replying; end if To exit the critical section state : RELEASED; [Box F] (6 marks) (b) In the Ricart and Agrawala algorithm, suppose the statement T : the timestamp of the request by the logical clock is changed to T : i (i.e., the timestamp is set to the process index). Does the algorithm still guarantee that at most one process may execute in the critical section at any time? Briefly explain your answer. (7 marks) (c) Suppose that we would like to modify the Ricart and Agrawala algorithm to coordinate p1, p2, ..., pn for accessing a shared resource that can be accessed by at most two processes at any time. Which box (or boxes) in Q5(a) need to be amended and how it (or they) should be amended to achieve this goal? (5 marks)",Short Answer,Short Answer,Chapter 1 Characterization of Distributed Systems & System Models,['Fundamental models'],8.pdf,1377
Q048,"Consider a replicated shared object service hosting an integer object x whose initial value is 0. Table Q6 shows the operations performed by two clients on x. For example, read(x)  a denotes a read operation on x returning a value a, and write(x  x  50) denotes a write operation increasing the value of x by 50. The operations of each client are listed in the order that they are performed by the client. Table Q6  Program order  Client A  Client B      write(x  x  6)  read(x)  c    read(x)  a  write(x  x  400)    write(x  x  50)  read(x)  d    read(x)  b   (a) If a  406 and the object service is sequentially consistent, what are the possible combinations of the values c and d? (4 marks) (b) If the object service is FIFO consistent, what are the possible combinations of the values a and b? (4 marks) (c) If a  400 and the object service is monotonicread consistent, what are the possible values of b? (4 marks) (d) If a  406 and the object service is readyourwrites consistent, what are the possible values of b? (4 marks) (e) If a  400 and the object service is both monotonicwrite consistent and writesfollowreads consistent, what are the possible values of b? (4 marks)",Calculation,Calculation,Chapter 1 Characterization of Distributed Systems & System Models,['Fundamental models'],8.pdf,1180
Q049,"1. (a) What are idempotent and nonidempotent operations? (3 marks) (b) A distributed contact tracing system maintains the records of lessons attended by students. The server provides three services. The first service is for the students to register attendance by specifying the location of a lesson (a string), the time of the lesson (two integers, day and hour), and the student name (a string). The second service is for the manager to retrieve all the lessons attended by a particular student by specifying the student name. The third service is for the manager to query the names of all the students attending a particular lesson by specifying the location and the time of the lesson. Design a Java remote interface for the server. (5 marks)",Programming,Programming,Chapter 3 Distributed Objects & Remote Invocation,"['Object-based model: remote method invocation (RMI)', 'An example of Java RMI']",1.pdf,745
Q050,"2. (a) What is the purpose of mounting in a distributed file system? How is mounting carried out in the NFS? (6 marks) (b) A distributed file system consists of three computers: a server and two clients A and B. Let f be a singleblock file stored at the server. Figure Q2 shows the operations performed by clients A and B on file f, where o, r, u and ""c"" represent open, read, update and close operations respectively. A and B both start with an empty client cache, and the caches are large enough to avoid any replacement. The updates made by B do not change the length of file f. The transmission delay in the network and the processing times at the computers are negligible. [Image of timeline showing operations for client A (o, r1 at 0s; r2 at 2s; r3 at 4s; r4 at 6s; r5,c at 8s; o,r6 at 9s; r7 at 11s; r8,c at 13s) and client B (o,u1 at 1s; u2 at 5s; u3,c at 9s)  Figure Q2] For each of the following cases, determine which read operations of A return the file that incorporates the most recent update by B, and determine the time points when the file is transferred from the server to A. (i) The system is an NFS. The clients use a freshness interval of 3 seconds to maintain cache consistency, and client B uses a biodaemon process to send its updates to the server right after making each update. (7 marks) (ii) The system is an AFS that implements session update semantics. (7 marks)",Calculation,Calculation,Chapter 4 Distributed File Systems,"['Sun Network File System', 'Andrew and Coda File Systems']",1.pdf,1393
Q051,"3. Three processes p1, p2 and p3 are running on different computers in an asynchronous distributed system. Each process has a local clock. Figure Q3 shows four messages sent between the processes, where events a to h represent the sending and receiving events of these messages. Let te be the reading of p1s clock at event e, and tg be the reading of p2s clock at event g. Suppose that p3 knows te and tg, as well as the lengths of the time intervals measured by respective clocks as shown in the figure. [Image of processtime diagram for p1, p2, p3 with events ah and time intervals. Message from p3(a) to p2(b). Message from p2(c) to p1(d). Message from p1(e) to p2(f). Message from p2(g) to p3(h). Time intervals: d to e is 400ms. c to f is 700ms. f to g is 30ms. a to h is 1000ms. a to c (on p3s clock) is 800ms  Figure Q3] (a) If p3 would like to synchronize its clock with p2s clock as accurately as possible, what time should p3 set its clock to when it receives the message at event h? What is the accuracy of this setting? (5 marks) (b) If p3 would like to synchronize its clock with p₁s clock as accurately as possible, what time should p3 set its clock to at event h? What is the accuracy of this setting? (5 marks) (c) Timestamp all the events in Figure Q3 using the vector clocks. (6 marks) (d) Assume that message delivery on each unidirectional pointtopoint channel follows FIFO order. p2 initiates the ChandyandLamport algorithm sometime between events c and f to record a snapshot of the system. List all the possible snapshots finally recorded. Indicate clearly the process states and channel states in the snapshots. In your answer, if needed, use S1, S2 and S3 to represent the initial states of p1, p2 and p3 respectively, and use Sx to represent the state of the process where event x occurs immediately after event xs occurrence (for example, Sa is the state of p3 immediately after event a occurs, and Sc is the state of p2 immediately after event c occurs). (6 marks)",Calculation,Calculation,Chapter 7 Time and Global States,"['Synchronizing Physical Clocks', 'Causal Ordering and Logical Clocks', 'Global States']",1.pdf,1992
Q052,"4. The vector clock mechanism is used to timestamp the events that occur in a distributed system of three processes p1, p2, p3. Suppose that in a consistent cut, the last event occurring in each process has the following timestamps: p1: (300, 100, 100) p2: (200, 200, 200) p3: (300, a, b) What are the possible ranges of the values a and b respectively? Briefly explain your answer. (10 marks)",Calculation,Calculation,Chapter 7 Time and Global States,"['Causal Ordering and Logical Clocks', 'Global States']",1.pdf,393
Q053,"5. (a) Suppose that the Ricart and Agrawala algorithm is used for distributed mutual exclusion among n processes p1, p2, ..., pn. Below is the partial pseudocode of the algorithm executed by a process pi. Complete the algorithm by filling in the boxes A to F with appropriate pseudocode. On initialization state : RELEASED; To enter the critical section [Box A] send request to all the other processes; T : the timestamp of the request by the logical clock; [Box B] state : HELD; On receipt of a request (Tj, pj) from another process pj (j  i) if (state  RELEASED or [Box C] ); then [Box D] else [Box E] end if To exit the critical section [Box F] reply to all queued requests; (10 marks) (b) In the Ricart and Agrawala algorithm, suppose the statement ""T : the timestamp of the request by the logical clock"" is changed to T : a random number"". Assume that different processes never generate the same random number. Does the algorithm still guarantee that at most one process may execute in the critical section at any time? Briefly explain your answer. (10 marks)",Fill in Blank,Fill in Blank,Chapter 7 Time and Global States,['Causal Ordering and Logical Clocks'],1.pdf,1064
Q054,"6. Consider a replicated shared object service hosting an integer object x whose initial value is 0. Table Q6 shows the operations performed by two clients on x. For example, read(x)  a denotes a read operation on x returning a value a, and write(x  x  50) denotes a write operation increasing the value of x by 50. The operations of each client are listed in the order that they are performed by the client. [Table Q6] Program order (down arrow) Client A: write(x  x  6) read(x)  a write(x  x  50) read(x)  b Client B: write(x  x  400) read(x)  c read(x)  400 read(x)  d [Table Q6] (a) If the object service is sequentially consistent, what are the possible combinations of the values a and b? (4 marks) (b) If the object service is monotonicread consistent, what are the possible combinations of the values c and d? (4 marks) (c) If the object service is both monotonicread consistent and monotonicwrite consistent, what are the possible combinations of the values c and d? (4 marks) (d) If the object service is readyourwrites consistent, what are the possible combinations of the values a and b? (4 marks) (e) If a  406 and the object service is writesfollowreads consistent, what are the possible values of b? (4 marks)",Calculation,Calculation,Chapter 1 Characterization of Distributed Systems & System Models,['Fundamental models'],1.pdf,1224
